,source,target,edge
748,ClinicalTrials.gov,data,processed
749,Male female subjects,18 to 45 years,aged
750,Vital signs,abnormalities,show
751,Subjects,fertility plan,have
752,ClinicalTrials.gov,data,processed
753,ClinicalTrials.gov,data,processed
754,ClinicalTrials.gov,data,processed
755,-CoV-2,diagnosis,confirmed
756,ClinicalTrials.gov,Data,processed
757,Presence,PTSD symptoms,predict
758,questions,theoretically driven selections,given
759,study,Cross - sectional survey design,involves
760,Public service providerswere,trough Facebook,recruited
761,investigators,items,combined
762,conservative estimates,1900.Statistical models,included
763,way ANOVA Kruskal Wallis test,toexploratory investigate differences,conducted
764,investigatorswill,test,used
765,ClinicalTrials.gov,data,processed
766,Epidemiologicalstudies,biological myocardial involvement,report
767,ClinicalTrials.gov,data,processed
768,Inclusion Criteria:-Participant,body mass index,have
769,investigators,potential,evaluate
770,ClinicalTrials.gov,data,processed
771,334 million people,asthma,estimated
772,ClinicalTrials.gov,data,processed
773,ClinicalTrials.gov,data,processed
774,ClinicalTrials.gov,data,processed
775,wait list design,controlled trial,randomised
776,Investigators,symptoms,monitor
777,Specific study objectives,uncertainties,address
778,findings,choice,inform
779,participants,Intervention,willreceive
780,tele rehabilitation programme,aninitial assessment,comprise
781,EQ-5D-5L anxiety depression domain,insight,provide
782,STST,good correlation,hasshown
783,Significant comorbid physical mental illness,engagement,prevent
784,ClinicalTrials.gov,data,processed
785,Subjects,ibudilast 100 mg d,receive
786,ClinicalTrials.gov,data,processed
787,semi - partial correlation,biased easiestinterpretable estimate,gives
788,survey,mandatory fields,includes
789,ClinicalTrials.gov,data,processed
790,ClinicalTrials.gov,data,processed
791,epidemiological reports,disproportionate low rate,unveiled
792,activation,inhibitors,androgensynthesis
793,Inclusion Criteria:-Male,SARS CoV-2 infection,confirmed
794,ClinicalTrials.gov,data,processed
795,multicenter study,fixed dose combination,provides
796,ClinicalTrials.gov,data,processed
797,ClinicalTrials.gov,data,processed
798,Patients,markedly varied clinicalpresentations,have
799,ClinicalTrials.gov,data,processed
800,hospitals,incredible challenges,facing
801,ClinicalTrials.gov,data,processed
802,brief online delivered cognitive behavioralintervention,degree,is to
803,ClinicalTrials.gov,data,processed
804,Efficacy,Strengthening,Via
805,Data,protection,demonstrated
806,Arecent study,- vaccination,showed
807,recent ecological observations,inversecorrelation,suggest
808,Participants,single dose,receive
809,Analysis,placeafter M6 visits,take
810,ClinicalTrials.gov,data,processed
811,professional,experience,Secondary variables
812,contact,aforementioned variables,provide
813,ClinicalTrials.gov,data,processed
814,unit,250 mL beer,History of
815,ClinicalTrials.gov,data,processed
816,COVID-19,high mortality.-Patients,have
817,oncological benign pathologies,high morbidity,have
818,ClinicalTrials.gov,data,processed
819,therapy,progression,test
820,donor compound S nitroso N acetylpenicillamine increased survival rate inan model,epithelial cells,infected
821,Laboratory,COVID19 infection,confirmed
822,ClinicalTrials.gov,data,processed
823,ClinicalTrials.gov,data,processed
824,understanding,considerableknowledge,gained
825,Complex anddelicately balanced interaction,cellular andhumoral components,involve
826,ClinicalTrials.gov,data,processed
827,ClinicalTrials.gov,data,processed
828,The World Health Organization,coronavirus disease,declared
829,health care workers,internet,using
830,ClinicalTrials.gov,data,processed
831,ClinicalTrials.gov,data,processed
832,process,health status,affected
833,ISL)lymphedema,classification,evaluated by
834,ClinicalTrials.gov,data,processed
835,patient,complete hospitalization record,has
836,ClinicalTrials.gov,data,processed
837,study,eligible patients,enrol
838,Criteria:-,diagnosis,Confirmed
839,ClinicalTrials.gov,data,processed
840,Corona virus,primarily deep hypoxia,causes
841,critical illness,long termneurocognitive functioning,affects
842,investigators,single centre,conduct
843,ClinicalTrials.gov,data,processed
844,people,state anxiety transitions,elevated
845,Previous activities,significantreductions,predicted
846,ClinicalTrials.gov,data,processed
847,study,effectiveness,compares
848,Secondary outcomes,rates,include
849,Exploratory outcomes,stress related affect reactivity salivaryinflammatory markers,include
850,Online oral fluid toxicology testing,innovative data collection modalities,represent
851,ClinicalTrials.gov,data,processed
852,Contact,persons,infected
853,Reactive IgG,rapid test).8,standardize
854,Subjects,vaccination,receive
855,ClinicalTrials.gov,data,processed
856,ClinicalTrials.gov,data,processed
857,ClinicalTrials.gov,data,processed
858,Lactobacillus,CECT,plantarum
859,Lactobacillus,CECT,plantarum
860,Lactobacillus,CECT,plantarum
861,ClinicalTrials.gov,data,processed
862,ClinicalTrials.gov,data,processed
863,Patients,Patients general practitioner,contact
864,Cluster Randomized Trial,French regions,involve
865,ClinicalTrials.gov,data,processed
866,ClinicalTrials.gov,data,processed
867,Inclusion Criteria:-Patients,positive (PCR,tested
868,ClinicalTrials.gov,data,processed
869,Diabetes,significant additional risk,confers
870,DPP-4,variouseffects,has
871,aimsto,safety,assess
872,trial,theeffects,assess
873,ClinicalTrials.gov,data,processed
874,ClinicalTrials.gov,data,processed
875,Severe courses,lungs,affect
876,Coronavirus disease,hospitalization,requires
877,hospitalization rate disease severity,elderly,increases
878,thesepatients,prolonged activated partial thromboplastin time,have
879,studygroup,patients,examine
880,Pneumologic tests,lung function test,include
881,urine tests,kidney parameters,include
882,ClinicalTrials.gov,data,processed
883,Cordio App,vocal data,upload
884,ClinicalTrials.gov,data,processed
885,infectious diseases,ahuge impact,shown in
886,Fundació Lluita contra SIDA,questions,The surveyis
887,ClinicalTrials.gov,data,processed
888,COM COVID survey study,presence,examines
889,ClinicalTrials.gov,data,processed
890,identification,emergence,follows
891,Severe disease,supplemental oxygen administration,requires
892,ClinicalTrials.gov,data,processed
893,Timing mode ofpresentation,length,depend
894,ClinicalTrials.gov,data,processed
895,ClinicalTrials.gov,data,processed
896,COVID-19,hospitals,fills
897,ClinicalTrials.gov,data,processed
898,Favipiravir,anti - viral activity,shown
899,unit,250 mL beer,History of
900,ClinicalTrials.gov,data,processed
901,Coronavirus disease,global pandemic,causing
902,Coronavirus disease,global pandemic,causing
903,ClinicalTrials.gov,data,processed
904,ClinicalTrials.gov,data,processed
905,ClinicalTrials.gov,data,processed
906,ClinicalTrials.gov,data,processed
907,Patients,death,expected
908,ClinicalTrials.gov,data,processed
909,patientswill,clinical pharmacological measures,receive
910,patients,clinical pharmacological measures,receive
911,Patientsin,CBD,receive
912,ClinicalTrials.gov,data,processed
913,Patients,withdrawal program,perform
914,withdrawal program,abrupt interruption,includes
915,ClinicalTrials.gov,data,processed
916,investigators,novelbinding receptors,develop
917,ClinicalTrials.gov,data,processed
918,ClinicalTrials.gov,data,processed
919,Health Care professionals,line withcoronavirus disease COVID-19 patients,working
920,ClinicalTrials.gov,data,processed
921,ClinicalTrials.gov,data,processed
922,post - exposure prophylaxis,symptomatic COVID-19 disease,test
923,trial,5 groups,targeting
924,ClinicalTrials.gov,data,processed
925,Outbreak,rapid - shaping,requires
926,patients,elbow flexion extension,involving
927,Therehabilitation intervention,30 rehabilitation sessions,include
928,patients,arehabilitation treatment,receive
929,experiments,written consent;-compliance,Inclusion Criteria:-first ischemic or hemorrhagic stroke
930,ClinicalTrials.gov,data,processed
931,ClinicalTrials.gov,Exclusion Criteria:-incomplete data,processed
932,Nintedanib Nintedanib cloth,soft capsule treatment,sulfonate
933,109 L,≥100 ×,platelets
934,ClinicalTrials.gov,data,processed
935,ClinicalTrials.gov,data,processed
936,Intensive Care Unit,patients,admitted
937,ClinicalTrials.gov,data,processed
938,Patient,diagnosis,received
939,Patient,at least one,possess
940,ClinicalTrials.gov,data,processed
941,ClinicalTrials.gov,data,processed
942,ClinicalTrials.gov,data,processed
943,ClinicalTrials.gov,data,processed
944,Theinvestigators,effect sizes,examine
945,analyses,different sources ofinformation,include
946,pre - registered planned analyses,multipleregression,include
947,survey,mandatory fields,includes
948,ClinicalTrials.gov,data,processed
949,investigators,multi - center observational longitudinal cohort study,propose
950,consenting participants,survey assessment,undergo
951,ClinicalTrials.gov,data,processed
952,comers,departments,echocardiography
953,echocardiogram,informed consent,HF symptoms-Referral from
954,ClinicalTrials.gov,data,processed
955,ClinicalTrials.gov,data,processed
956,sector,patient demographics,includes
957,ClinicalTrials.gov,data,processed
958,exclusion,48 hours,take
959,Survival,active medical treatment,expected
960,ClinicalTrials.gov,data,processed
961,virus,factors,assess
962,Screeningfor specific antibodies,exposure,determine
963,patients,hospitalization,set up
964,patients,weekly clinical follow,had
965,investigation,atransmission rate,shows
966,reading,30 minutes,exceed
967,ClinicalTrials.gov,data,processed
968,ClinicalTrials.gov,data,processed
969,ClinicalTrials.gov,data,processed
970,ClinicalTrials.gov,data,processed
971,ClinicalTrials.gov,data,processed
972,COVID-19,clustering morbidity trend,has
973,ClinicalTrials.gov,data,processed
974,reasons,high scientific value,identfy
975,Alveolar edema,causedisruption,may
976,alveolar exudate organization andpulmonary interstitial fibrosis,process,accompany
977,novel coronavirus,positive stranded RNA nucleic acid,has
978,novel coronavirus,non - structural proteins,has
979,hemoglobin,heme metabolism,inhibits
980,ClinicalTrials.gov,data,processed
981,ClinicalTrials.gov,data,processed
982,Infection,treatment,undergo
983,ClinicalTrials.gov,data,processed
984,protocol,convenience sample,utilizes
985,DGMC COVIDScreening Tent personnel,aninformational flyer,provide
986,study team member,lab coat,wear
987,participantwill,copy,keep
988,study team member,lab coat,wear
989,participant,bagged specimen,thenplace
990,Thestudy team member,double bagged saliva sample,place
991,study team member,code,record
992,Via RT-PCR,N gene,target
993,participant,sample,taken to
994,ClinicalTrials.gov,data,processed
995,- attendance,toany,referred
996,Inclusion Criteria:-Patients,16 years old Confirmed diagnosis,aged
997,ClinicalTrials.gov,data,processed
998,ClinicalTrials.gov,data,processed
999,ClinicalTrials.gov,data,processed
1000,SARS CoV-2).The World Health Organization,coronavirus disease,declared
1001,management,focusedprimarily,has
1002,Patients,2:1,randomized
1003,Patients withSARS-CoV-2 PCR,infection,confirmed
1004,ClinicalTrials.gov,data,processed
1005,ClinicalTrials.gov,data,processed
1006,COVID-19 Pneumonia COVID Study,global health crisis,causing
1007,COVID-19 epidemic,majorreorganization,imposed
1008,scenario,implementation,requires
1009,ClinicalTrials.gov,data,processed
1010,ClinicalTrials.gov,data,processed
1011,Novel Coronavirus,2019-nCoVacute respiratory disease,causes
1012,The NovelCoronavirus,2019-nCoVacute respiratory disease,causes
1013,ClinicalTrials.gov,Data,processed
1014,randomized clinical trial,maternal neonatal infections,reducedselected
1015,treatment,primary hypotheses,includes
1016,single prophylactic intrapartumoral dose,maternal death,reduce
1017,Second single prophylactic intrapartum oral dose,intrapartum neonatal death,reduce
1018,ClinicalTrials.gov,data,processed
1019,management,major healthcare burden,represents
1020,ClinicalTrials.gov,data,processed
1021,COVID19 Pandemic,crisis,represents
1022,Necessary adjustments,reduction,include
1023,N 30 employees,bymeans,interviewed about
1024,ClinicalTrials.gov,data,processed
1025,Inclusion Criteria:-We,individuals,identify
1026,Inclusion Criteria:-We,individuals,exclude
1027,ClinicalTrials.gov,data,processed
1028,ClinicalTrials.gov,data,processed
1029,Liberal use,number,increase
1030,The World Health Organisation,oxygen therapy,recommends
1031,ClinicalTrials.gov,data,processed
1032,Patients,sequelae,had
1033,patients,radiological sequelae,had
1034,ClinicalTrials.gov,data,processed
1035,one,episode,Exclusion Criteria:-Use of
1036,child,potential,(SaO2 < 90% for
1037,ClinicalTrials.gov,data,processed
1038,China,70635 confirmed cases,has
1039,ClinicalTrials.gov,data,processed
1040,Secondary Aims:-To,reproducibility,demonstrate
1041,ClinicalTrials.gov,data,processed
1042,ClinicalTrials.gov,data,processed
